iter	Passed	Remaining
1161	20611	19706
1162	20634	19694
1163	20660	19683
1164	20685	19673
1165	20709	19661
1166	20733	19649
1167	20756	19637
1168	20780	19624
1169	20803	19612
1170	20827	19600
1171	20850	19587
1172	20874	19575
1173	20895	19560
1174	20915	19545
1175	20935	19529
1176	20960	19518
1177	20981	19503
1178	21003	19489
1179	21023	19473
1180	21042	19456
1181	21063	19441
1182	21085	19428
1183	21110	19416
1184	21135	19405
1185	21161	19395
1186	21181	19379
1187	21204	19366
1188	21224	19350
1189	21245	19335
1190	21269	19322
1191	21291	19308
1192	21312	19293
1193	21333	19278
1194	21353	19262
1195	21374	19248
1196	21396	19233
1197	21417	19218
1198	21436	19201
1199	21457	19186
1200	21479	19172
1201	21501	19158
1202	21524	19144
1203	21546	19130
1204	21568	19116
1205	21587	19099
1206	21607	19082
1207	21625	19065
1208	21644	19048
1209	21669	19036
1210	21690	19021
1211	21709	19004
1212	21730	18989
1213	21751	18974
1214	21771	18958
1215	21795	18945
1216	21817	18930
1217	21838	18916
1218	21866	18906
1219	21892	18895
1220	21914	18881
1221	21938	18868
1222	21961	18854
1223	21985	18841
1224	22006	18826
1225	22030	18814
1226	22054	18801
1227	22079	18789
1228	22103	18776
1229	22124	18760
1230	22143	18743
1231	22167	18730
1232	22188	18715
1233	22206	18697
1234	22223	18678
1235	22239	18659
1236	22260	18643
1237	22280	18626
1238	22302	18612
1239	22334	18605
1240	22366	18599
1241	22398	18593
1242	22422	18580
1243	22442	18563
1244	22467	18551
1245	22487	18535
1246	22508	18519
1247	22532	18506
1248	22553	18490
1249	22573	18474
1250	22596	18460
1251	22619	18446
1252	22637	18427
1253	22655	18409
1254	22673	18391
1255	22695	18376
1256	22717	18361
1257	22738	18346
1258	22757	18328
1259	22778	18313
1260	22796	18295
1261	22817	18279
1262	22835	18261
1263	22856	18245
1264	22877	18229
1265	22896	18212
1266	22915	18195
1267	22934	18177
1268	22950	18157
1269	22967	18139
1270	22984	18120
1271	23001	18100
1272	23023	18085
1273	23043	18069
1274	23061	18051
1275	23078	18032
1276	23096	18014
1277	23118	17998
1278	23140	17983
1279	23160	17967
1280	23182	17952
1281	23201	17934
1282	23223	17919
1283	23244	17903
1284	23265	17888
1285	23289	17874
1286	23315	17862
1287	23337	17847
1288	23360	17832
1289	23382	17817
1290	23403	17801
1291	23426	17787
1292	23455	17777
1293	23487	17770
1294	23514	17758
1295	23540	17745
1296	23563	17731
1297	23584	17715
1298	23602	17697
1299	23624	17681
1300	23644	17665
1301	23665	17649
1302	23684	17631
1303	23705	17615
1304	23728	17601
1305	23749	17584
1306	23769	17567
1307	23791	17552
1308	23811	17535
1309	23832	17519
1310	23851	17502
1311	23873	17486
1312	23895	17471
1313	23917	17455
1314	23940	17440
1315	23962	17425
1316	23985	17410
1317	24009	17396
1318	24053	17397
1319	24078	17383
1320	24104	17371
1321	24127	17356
1322	24151	17342
1323	24177	17329
1324	24200	17314
1325	24218	17296
1326	24238	17279
1327	24258	17261
1328	24276	17243
1329	24295	17225
1330	24313	17207
1331	24334	17191
1332	24359	17177
1333	24380	17161
1334	24402	17145
1335	24426	17131
1336	24452	17118
1337	24478	17105
1338	24503	17092
1339	24527	17077
1340	24551	17063
1341	24575	17048
1342	24596	17032
1343	24619	17017
1344	24642	17002
1345	24666	16987
1346	24691	16974
1347	24716	16960
1348	24740	16945
1349	24758	16927
1350	24777	16909
1351	24796	16891
1352	24816	16874
1353	24836	16857
1354	24857	16840
1355	24878	16824
1356	24899	16807
1357	24923	16792
1358	24947	16778
1359	24972	16764
1360	24997	16750
1361	25019	16734
1362	25041	16718
1363	25063	16703
1364	25089	16689
1365	25114	16675
1366	25137	16660
1367	25160	16644
1368	25185	16630
1369	25208	16615
1370	25232	16600
1371	25256	16585
1372	25278	16570
1373	25299	16553
1374	25322	16537
1375	25343	16521
1376	25366	16505
1377	25391	16491
1378	25416	16477
1379	25439	16462
1380	25461	16445
1381	25486	16431
1382	25507	16414
1383	25529	16398
1384	25552	16383
1385	25574	16366
1386	25595	16350
