Model,Min_loss,Max_accuracy,Diff_accuracy
lstm_max_hd512_nl1_drop0.0,0.052974771654648554,0.9103999733924866,0.0067999958992004395
lstm_mean_last_concat_hd384_nl1_drop0.3,0.029429591674619587,0.9099999666213989,0.000800013542175293
base_mean,0.09665040771663189,0.9091999530792236,0.0021999478340148926
base_multi_concat_mean_nl1_drop0.0,0.16302276453798015,0.9089999794960022,0.001999974250793457
lstm_max_hd256_nl1_drop0.0,0.04765467366968126,0.9085999727249146,0.004999995231628418
base_max_norm,0.17080911152139305,0.9079999923706055,0.0009999871253967285
bidirect_mean,0.17074472210953634,0.9071999788284302,0.00019997358322143555
base_multi_concat_mean_nl2_drop0.1,0.17140796893437704,0.9070000052452087,0.0
base_multi_concat_mean_nl1_drop0.3,0.16104976231679322,0.9059999585151672,-0.001000046730041504
base_multi_concat_mean_last_concat,0.18606103125388423,0.9053999781608582,-0.001600027084350586
base_mean_norm,0.16970738964254659,0.9053999781608582,-0.001600027084350586
base_max,0.20795836244424185,0.9041999578475952,-0.0028000473976135254
base_multi_concat_mean_nl3_drop0.0,0.19668233344604572,0.9031999707221985,-0.003800034523010254
base_multi_concat_mean_nl3_drop0.3,0.2267362886838615,0.9017999768257141,-0.005200028419494629
base_mean_last_concat,0.18660883047878743,0.8985999822616577,-0.008400022983551025
base_multi_concat,0.2812570573876301,0.8941999673843384,-0.012800037860870361
base_sum,0.5302861901760101,0.8527999520301819,-0.054200053215026855
lstm_mean_hd512_nl3_drop0.3_adamW_wd03,1.3866307752927145,0.2621999979019165,-0.6469999551773071
lstm_mean_hd512_nl3_drop0.3_adamW_wd05,1.3873093277613322,0.2565999925136566,-0.652599960565567
lstm_mean_hd512_nl3_drop0.3_adam,1.387397454770406,0.25599998235702515,-0.6531999707221985
lstm_mean_hd512_nl3_drop0.3_adamW_wd01,1.3877428263664247,0.2457999885082245,-0.6633999645709991
